departamento,periodo,rendimiento,produccion,cosechada,sembrada,temp
91,2015B,2.2,87.0,74.0,30.0,25.621921623379148
91,2016A,2.0,50.0,25.0,30.0,25.47633348928763
91,2016B,3.0,119.0,79.0,30.0,25.121792383207172
91,2017A,1.8,54.0,30.0,7.0,24.952430135691777
91,2017B,1.0,6.0,6.0,12.0,24.52738192502041
91,2018A,1.5,30.0,52.0,10.0,24.67471256862995
94,2015A,1.5,110.0,73.0,80.0,25.50422368565704
94,2015B,3.0,240.0,160.0,29.0,26.006190131067818
94,2016A,3.0,51.0,29.0,87.0,26.600719822983834
94,2016B,4.0,168.0,84.0,88.0,25.4737254227645
94,2017A,4.0,170.0,85.0,54.0,25.737181224469033
94,2017B,2.0,51.0,51.0,170.0,25.206036393358545
94,2018A,2.0,169.0,169.0,45.0,26.38093726152051
95,2015A,6.0,5533.0,3688.0,4333.0,25.452468103104675
95,2015B,6.0,6118.0,4078.0,4333.0,25.82596681469045
95,2016A,6.0,6118.0,4078.0,5053.0,26.256817864017176
95,2016B,6.0,6823.0,4548.0,4262.0,25.449283639373128
95,2017A,4.5,5755.0,3836.0,4474.0,25.3636386582495
95,2017B,6.0,7162.0,4774.0,0.0,24.975901183116548
97,2015A,2.4,149.0,113.0,233.0,24.587979093770446
97,2015B,2.2,217.0,204.0,128.0,25.35868300624158
97,2016A,2.4,148.0,113.0,150.0,25.806084792243436
97,2016B,4.7,308.0,140.0,65.0,25.237476058003647
97,2017A,2.7,135.0,50.0,75.0,25.2697937703819
97,2017B,4.8,396.0,170.0,82.0,24.639475679488395
97,2018A,2.8,213.0,76.0,100.0,26.72979747400728
99,2015A,6.9,3187.0,1881.0,245.0,29.454386897429117
99,2015B,13.1,39297.0,6193.0,15505.0,28.040703707998
99,2016A,12.999999999999998,98246.0,15449.0,6215.0,30.25904816430534
99,2016B,15.0,36496.0,6205.0,15314.0,27.315608416847777
99,2017A,16.299999999999997,90580.0,15233.0,5859.0,28.436163542114237
99,2017B,13.5,23179.0,5852.0,4205.0,28.022784188979905
99,2018A,10.4,14385.0,4176.0,4758.0,29.667308457139463
